CVE_ID,Method,Filename,CWE,Code_Before_Lines,Code_After_Lines,Lines_Added,Lines_Removed,Graph_Code_Lines,Overlap_Count,Overlap_Percentage
CVE-2018-8788,nsc_rle_decompress_data,nsc.c,CWE-787,23,43,22,2,44,4,36.36
CVE-2017-2647,keyring_search,keyring.c,CWE-476,31,28,1,4,58,3,75.0
CVE-2011-2918,perf_event_comm_output,core.c,CWE-400,28,28,1,1,53,1,50.0
CVE-2019-18885,btrfs_find_device_by_path,volumes.c,CWE-476,31,31,2,2,70,2,50.0
CVE-2011-2918,simulate_sync,traps.c,CWE-400,10,10,1,1,23,1,50.0
CVE-2022-2153,stimer_set_config,hyperv.c,CWE-476,31,31,1,1,76,1,50.0
CVE-2016-5094,unicode_cp_is_allowed,html.c,CWE-190,48,48,1,1,89,1,100.0
CVE-2013-0871,ptrace_check_attach,ptrace.c,CWE-362,32,37,14,9,62,12,57.14
CVE-2022-2318,rose_start_t1timer,rose_timer.c,CWE-416,11,11,2,2,24,2,50.0
CVE-2022-47942,smb2_get_info_sec,smb2pdu.c,CWE-787,74,77,9,6,161,5,33.33
CVE-2013-0178,initServerConfig,redis.c,CWE-20,77,74,4,7,132,0,0.0
CVE-2020-1916,HPHP::HHVM_FUNCTION,ext_ldap.cpp,CWE-787,42,42,1,1,139,1,50.0
CVE-2019-11487,gup_pte_range,gup.c,CWE-416,59,59,2,2,108,2,50.0
CVE-2018-11219,optsize,lua_struct.c,CWE-190,20,20,2,2,59,2,50.0
CVE-2017-15951,big_key_describe,big_key.c,CWE-20,11,11,1,1,26,1,50.0
CVE-2017-18216,o2nm_node_num_store,nodemanager.c,CWE-476,41,50,10,1,92,3,37.5
CVE-2019-19922,do_sched_cfs_period_timer,fair.c,CWE-400,67,64,2,5,84,4,66.67
CVE-2019-19815,f2fs_set_data_page_dirty,data.c,CWE-476,29,30,3,2,45,2,40.0
CVE-2019-18885,btrfs_finish_sprout,volumes.c,CWE-476,71,71,1,1,109,1,50.0
CVE-2017-15951,keyring_describe,keyring.c,CWE-20,14,14,1,1,25,1,50.0
CVE-2019-18885,btrfs_scrub_progress,scrub.c,CWE-476,16,16,1,1,45,1,50.0
CVE-2023-45898,ext4_es_insert_extent,extents_status.c,CWE-416,73,79,12,6,137,1,7.69
CVE-2023-3863,nfc_genl_llc_get_params,netlink.c,CWE-416,48,51,4,1,89,1,25.0
CVE-2012-3552,icmp_reply,icmp.c,CWE-362,47,47,5,5,105,5,50.0
CVE-2014-7826,ftrace_syscall_enter,trace_syscalls.c,CWE-476,47,47,1,1,87,1,50.0
CVE-2018-12896,common_hrtimer_rearm,posix-timers.c,CWE-190,12,11,2,3,28,3,75.0
CVE-2019-18885,btrfs_find_device_by_devspec,volumes.c,CWE-476,30,30,1,1,56,1,50.0
